reg_id,year,number,change,file
Permen_ESDM_2019_8,2019,8,Permen_ESDM_2017_16,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn927-2019.json
PERMEN_PANRB_2019_8,2019,8,PERMEN_PANRB_2014_14,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn576-2019.json
PERMEN_DESA_2019_8,2019,8,PERMEN_DESA_2017_3,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn876-2019.json
Permen_Dikbud_2019_8,2019,8,Permen_Dikbud_2016_6,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn207-2019.json
Permen_Dag_2019_78,2019,78,Permen_Dag_2019_38,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1239-2019.json
Permen_Dag_2019_77,2019,77,Permen_Dag_2015_85,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1290-2019.json
Permen_Keu_2019_76,2019,76,Permen_Keu_2014_246,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn549-2019.json
Permen_Dag_2019_76,2019,76,Permen_Dag_2018_118,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1245-2019.json
Perpres_2019_75,2019,75,Perpres_2018_82,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/ps75-2019.json
PP_2019_74,2019,74,PP_2018_40,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp73-2019bt.json
Permen_Dag_2019_72,2019,72,Permen_Dag_2019_29,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1095-2019.json
Permen_Dagri_2019_72,2019,72,Permen_Dagri_2017_137,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1327-2019.json
PP_2019_72,2019,72,PP_2016_18,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp72-2019bt.json
PERATURAN_KPU_2019_7,2019,7,PERATURAN_KPU_2017_7,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn277-2019.json
PERATURAN_POLRI_2019_7,2019,7,PERATURAN_POLRI_2017_13,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1303-2019.json
Permen_ATRBPN_2019_7,2019,7,Permen_ATRBPN_1997_3,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn722-2019.json
Permen_Kominfo_2019_7,2019,7,Permen_Kominfo_2018_7,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn841-2019.json
Permen_Sos_2019_7,2019,7,Permen_Sos_2018_20,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_763-2019.json
Permen_Naker_2019_7,2019,7,Permen_Naker_2015_21,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn691-2019.json
