new_doc,old_doc
Perkab_Bangka_Tengah_2014_7,Perkab_Bangka_Tengah_2012_1
Perkab_Bangka_Tengah_2014_12,Perkab_Bangka_Tengah_2006_32
Perkab_Bangka_Tengah_2014_17,Perkab_Bangka_Tengah_2011_25
Perkab_Bangka_Barat_2014_2,Perkab_Bangka_Barat_2011_14
Peraturan_BI_2014_3,Peraturan_BI_2004_6
Peraturan_BI_2014_4,Peraturan_BI_2005_7
Peraturan_BI_2014_5,Peraturan_BI_2004_6
Peraturan_BI_2014_6,Peraturan_BI_2009_11
Peraturan_BI_2014_7,Peraturan_BI_2005_7
Peraturan_BI_2014_8,Peraturan_BI_2009_11
Peraturan_BI_2014_9,Peraturan_BI_2005_7
Peraturan_BI_2014_10,
Peraturan_BI_2014_10,Peraturan_BI_2012_14
Peraturan_BI_2014_12,
Peraturan_BI_2014_15,
Peraturan_BI_2014_15,Peraturan_BI_2010_12
Peraturan_BI_2014_16,
Peraturan_BI_2014_16,Peraturan_BI_2008_10
Peraturan_BI_2014_16,Peraturan_BI_2009_11
Peraturan_BI_2014_17,
Peraturan_BI_2014_18,Peraturan_BI_2013_15
Peraturan_BI_2014_19,Peraturan_BI_2013_15
Peraturan_BI_2014_21,Peraturan_BI_2014_16
Peraturan_BI_2014_22,Peraturan_BI_2012_14
Perprov_DKI_Jakarta_2014_14,Perprov_DKI_Jakarta_2009_2
Perprov_DKI_Jakarta_2014_8,Perprov_DKI_Jakarta_1982_2
Perprov_DKI_Jakarta_2014_9,Perda_2004_7
Perprov_DKI_Jakarta_2014_5,
Perprov_DKI_Jakarta_2014_5,Perda_2005_2
Perprov_DKI_Jakarta_2014_16,Perprov_DKI_Jakarta_1991_4
Perprov_DKI_Jakarta_2014_1,Perda_1975_4
Perprov_DKI_Jakarta_2014_13,Perprov_DKI_Jakarta_2004_12
Perprov_DKI_Jakarta_2014_17,Perprov_DKI_Jakarta_2014_4
Perppu_2013_1,UU_2003_24
PP_2013_1,
PP_2013_2,PP_2008_63
Perpres_2013_5,Perpres_2005_49
Perpres_2013_5,Perpres_2008_23
PP_2013_9,PP_2000_23
Perpres_2013_14,Perpres_2010_31
UU_2013_14,UU_2008_56
UU_2013_15,UU_2012_19
Perpres_2013_16,Perpres_2007_32
Perpres_2013_16,Perpres_2007_75
Perpres_2013_17,Perpres_2007_45
Perpres_2013_18,Perpres_2007_49
PP_2013_18,PP_2009_14
Perpres_2013_19,Perpres_2007_33
PP_2013_19,PP_1979_32
PP_2013_20,PP_1981_25
PP_2013_21,
PP_2013_21,PP_2009_13
PP_2013_22,PP_1977_7
PP_2013_23,PP_2001_28
PP_2013_24,PP_2001_29
UU_2013_24,UU_2006_23
Perpres_2013_25,Perpres_2011_66
PP_2013_25,PP_2012_18
PP_2013_26,PP_2012_19
PP_2013_27,PP_2012_20
Perpres_2013_28,Perpres_2007_16
PP_2013_28,PP_1980_10
PP_2013_29,PP_1985_14
PP_2013_30,PP_1985_34
Perpres_2013_33,Perpres_2007_14
PP_2013_34,PP_2000_11
Perpres_2013_38,Perpres_2010_24
PP_2013_41,PP_2000_145
PP_2013_41,PP_2006_12
Perpres_2013_43,Perpres_2009_15
PP_2013_43,PP_2005_15
Perpres_2013_44,Perpres_2012_38
PP_2013_45,
PP_2013_45,Perpres_2010_53
Perpres_2013_55,Perpres_2009_47
Perpres_2013_56,Perpres_2010_24
Perpres_2013_63,Perpres_2006_10
PP_2013_64,PP_2009_71
Perpres_2013_66,Perpres_2005_67
PP_2013_69,PP_2001_5
PP_2013_70,PP_2007_36
Perpres_2013_71,Perpres_2007_47
Perpres_2013_72,
Perpres_2013_73,Perpres_2012_49
PP_2013_74,PP_2009_6
PP_2013_77,PP_2007_81
PP_2013_78,PP_2000_98
PP_2013_84,PP_1993_14
PP_2013_89,PP_1991_69
PP_2013_90,PP_2003_28
PP_2013_100,PP_2009_16
Perpres_2013_105,Perpres_2009_10
Perpres_2013_106,Perpres_2010_88
Perpres_2013_111,Perpres_2013_12
Perpres_2013_112,Perpres_2009_26
Permen_LH_2013_03,
Permen_LH_2013_08,
Peraturan_BMKG_2013_2,Peraturan_BMKG_2012_06
Peraturan_BMKG_2013_4,Peraturan_BMKG_2010_11
Peraturan_KPU_2013_02,Peraturan_KPU_2007_13
Peraturan_KPU_2013_05,Peraturan_KPU_2008_17
Peraturan_KPU_2013_06,Peraturan_KPU_2012_07
Peraturan_KPU_2013_8,Peraturan_KPU_2008_13
Peraturan_KPU_2013_9,Peraturan_KPU_2008_10
Peraturan_KPU_2013_10,Peraturan_KPU_2008_11
Peraturan_KPU_2013_11,Peraturan_KPU_2013_03
Peraturan_KPU_2013_12,Peraturan_KPU_2013_04
Peraturan_KPU_2013_13,Peraturan_KPU_2013_07
Peraturan_KPU_2013_14,Peraturan_KPU_2013_08
Peraturan_KPU_2013_15,Peraturan_KPU_2013_01
Peraturan_KPU_2013_17,Peraturan_KPU_2009_01
Peraturan_KPU_2013_19,Peraturan_KPU_2012_07
Peraturan_KPU_2013_21,Peraturan_KPU_2012_07
Peraturan_KPU_2013_22,Peraturan_KPU_2013_08
Peraturan_KPU_2013_24,Peraturan_KPU_2009_22
Peraturan_KPU_2013_27,Peraturan_KPU_2008_46
Peraturan_KPU_2013_29,Peraturan_KPU_2009_15
Peraturan_BPOM_2013_3,Peraturan_BPOM_2011_03
Peraturan_BPOM_2013_34,Peraturan_BPOM_2010_03
Peraturan_BPOM_2013_42,Peraturan_BPOM_2011_03
Peraturan_BPOM_2013_43,Peraturan_BPOM_2011_03
Peraturan_BPOM_2013_44,Peraturan_BPOM_2010_03
Peraturan_Batan_2013_5,
Peraturan_Batan_2013_7,
Peraturan_Batan_2013_7,Peraturan_Batan_2012_005
Peraturan_Batan_2013_9,Peraturan_Batan_2008_168
Peraturan_Batan_2013_11,Peraturan_Batan_2012_113
Permen_Kes_2013_1,
Permen_Kes_2013_6,Permen_Kes_2007_949
Permen_Kes_2013_6,Permen_Kes_2007_1239
Permen_Kes_2013_10,
Permen_Kes_2013_16,Permen_Kes_2010_1799
Permen_Kes_2013_17,Permen_Kes_2010_02
Permen_Kes_2013_35,Permen_Kes_2010_1144
Permen_Kes_2013_41,
Permen_Kes_2013_41,Permen_Kes_2012_028
Permen_Kes_2013_51,Permen_Kes_2012_038
